"X","rating","location","text"
1,5,"us"," SO ADDICTING  DEFF DOWNLAOD ITS EPIC YOU CAT LOVERS WILL FALL IN LOVE <3"
2,5,"us"," Great game I love this game. Unlike other games they constantly give you money to play. They are always given you a bone. Keep up the good work."
3,5,"nz"," Sooo much FUN I would definitely recommend this game, it's fun for dress up and business. It's extremely entertaining, I'm hooked already. :)"
4,5,"gb"," AWESOME Epic game so addictive 5stars <f0><U+009F><U+0098><U+0084>"
5,5,"us"," Good game Great game"
6,1,"nz"," Meh Used to be good until World Cup upgrade.
Now it lags all the time, making it difficult to play.
Maybe if you spent more time getting the game to actually work and less time trying to squeeze advertising into every nook of game play, we could have a winner."
7,3,"nz"," Not bad <U+6E38><U+620F><U+4E0D><U+9519><U+5C31><U+662F><U+7ECF><U+5E38><U+81EA><U+52A8><U+9000><U+51FA><U+6BD4><U+8F83><U+70E6><U+4EBA>"
8,5,"nz"," Clash  of clans Clash Is a awesome game"
9,4,"au"," Cool Great game A+A+A"
10,4,"nz"," Candy crush review Addictive"
11,4,"us"," Great game Great game"
12,4,"us"," Fun but I have a disagreement Whenever you try to play and it loads it doesn't work that is the only thing I do not like about subway surfers 3"
13,5,"us"," Epic game!!!!! Download this game! Don't hesitate!"
14,4,"us"," Platinum If u do Facebook to get platinum why do u only get one for all the stuff they post?"
15,4,"nz"," Obsessed Love this game, it's really cool except energy takes too long and 8hr missions frustrate me <f0><U+009F><U+0098><U+00A9> but other then that it's a real great game to get hang of <f0><U+009F><U+0091><U+008D><f0><U+009F><U+0091><U+008C> thank you"
16,5,"gb"," Just fun Easy to get in to and fun!"
17,4,"gb"," Hay day It's a really good game. It is very entertaining when you are really bored and have nothing to do"
18,5,"au"," Cool Good game"
19,5,"nz"," WHOO HOO!! Well I knew this update was coming but not when but since it's here WHOO Hoo!!! keep it comin plz!!"
20,5,"gb"," Amazing !! This app is the best app you can possibly find but the only thing I would want to change is kim when we go to buy stuff that cost k-stars can you make them way cheaper because no one can afford them but please download this game and enjoy the amazing life of Kim Kardashian xxxx"
21,1,"gb"," Good game spoilt I started playing this game and thought it was quite good until I had to progress by contacting 3 facebook friends, also waiting for energy and being on the same mission for at least two days, final result boring would be much better without facebook and waiting ,it says I have to rate this to send I'm giving you one star only because I have to"
22,1,"us"," Not worth your time! A Joke!  This casino just keeps getting worse. You can buy millions and be lucky if it last a day. You don't get much in free coins. They took the Extra Button off so at times you can't get the free coins offered. Worthless Casino!  Most comments on their Facebook page are from upset people. DO NOT WASTE YOUR MONEY !"
23,5,"us"," Hooked Hooked"
24,1,"gb"," Glad it's not real money ! Was good but all I get is poor connection and the reels just keep spinning then to top it all my ""big wins "" are lost ! Update needed ASAP"
25,5,"us"," Awesome! A lot of fun!!"
26,1,"au"," Double Cross Just chews threw chips...ridiculous odds."
27,5,"au"," Nice Fun game"
28,5,"us"," I love this game!!!! I just love this game. But I wish I didn't have to use data to buy and sell things!"
29,4,"gb"," Amazing game but stop working I have an iPod and the software is all up to date but all of a sudden I can't open up the game it just shuts down after a minute. Really loved this game hope it starts to work again soon please fix it!"
30,1,"au"," Not as good as it use to be When I first downloaded the game it was good you could cheat and get extra gems through the casino but now as they have change it and it takes forever to get awarded new gems and takes even longer to finish a restaurant."
31,2,"au"," Error in patching Every time I try to log it it says error in patching but overall good game."
32,4,"au"," Great It is a great app the paid one is much better though but for free it is really fun!"
33,5,"au"," Yay Yay"
34,5,"gb"," GET THIS QUICK!!! Subway Surfers is the best game on the App Store! It's the only game I will play for hours- literally! You'll never get bored of the game because there are missions and awards and you can collect tokens to get characters and boards witch have special powers and... and... THE FUN NEVER STOPS!!! Every so often you can update the app and you will go to different countries but you won't lose anything you earned. What could be wrong with this app? Nothing! Nothing at all! 
<f0><U+009F><U+009A><U+00A8>YOU WILL GET ADDICTED<f0><U+009F><U+009A><U+00A8>"
35,5,"us"," Awesome Mysterious Game!! Fun game to play @ night before bed to wind down!!"
36,5,"us"," Very fun Nice graphic tons of fun"
37,1,"au"," Need cash to compete. If you not prepared to spend thousands, don't bother.  Your outcome depends on how much you spend, which determines how strong you get. 

You can try the alternative and play without spending. It'll take you over a year to build the same power level and spender can make in 10 minutes. 

Members in my alliance and other alliances spend at least $200 daily per person. Generally the bigger ones will spend over $1000 every few days. 

It takes around $1000 to get to power level of 10 million. 
And 10 mill power is small fry.  Most are over 200 mill depending on how old the kingdom is. Generally a 2 month old kingdom has players over 220 mill power and average player is over 15 mill. 

So if you have money, this is an awesome game. Graphics are cool. Loads to do."
38,5,"gb"," Wortha down load Decent game"
